Rank,Logo,Name,Link,Website,Flag,Country,Region,Foundation_year,Address,Intro,Total_Enrollment,Total_International_Enrollment,UG_Enrollment,International_UG_Enrollment,PG_Enrollment,International_PG_Enrollment,latitude,longitude
1,https://www.shanghairanking.com/_uni/logo/032bd1b77.png,Harvard University,https://www.shanghairanking.com/institution/harvard-university, http://www.harvard.edu,https://www.shanghairanking.com/_pub/country-flags/png100/us.png, United States,North America,1636," Harvard University, Cambridge, Massachusetts 02138-3800, United States of America","Harvard University is devoted to excellence in teaching, learning, and research, and to developing leaders in many disciplines who make a difference globally. Harvard faculty are engaged with teaching and research to push the boundaries of human knowledge. For students who are excited to investigate the biggest issues of the 21st century, Harvard offers an unparalleled student experience and a generous financial aid program, with over $160 million awarded to more than 60% of our undergraduate students. The University has twelve degree-granting Schools in addition to the Radcliffe Institute for Advanced Study, offering a truly global education._x000D_
Established in 1636, Harvard is the oldest institution of higher education in the United States. The University, which is based in Cambridge and Boston, Massachusetts, has an enrollment of over 20,000 degree candidates, including undergraduate, graduate, and professional students. Harvard has more than 360,000 alumni around the world.",41987,24,14467,10.1,27520,20.1,42.36790855,-71.12678237
2,https://www.shanghairanking.com/_uni/logo/13de8913b.png,Stanford University,https://www.shanghairanking.com/institution/stanford-university, http://www.stanford.edu,https://www.shanghairanking.com/_pub/country-flags/png100/us.png, United States,North America,1885, 450 Serra Mall,"Stanford University is a research university that offers bachelor’s, master’s, doctoral and professional degrees. Stanford includes seven schools: Business, Earth, Engergy & Environmental Sciences, Education, Engineering, Humanities and Sciences, Law and Medicine. In addition, multidisciplinary research and teaching are at the heart of university-wide initiatives on human health, the environment and sustainability, international affairs and the arts. These initiatives offer our faculty and students opportunities for collaboration across disciplines that will be key to future advances._x000D_
Stanford University was founded in 1885 by former California Governor and Senator Leland Stanford and his wife, Jane, to memorialize their son, Leland Stanford Junior. Their intent was to establish a ""University of high degree"" that would “qualify students for personal success and direct usefulness in life and promote the public welfare by exercising an influence on behalf of humanity and civilization.” Stanford opened in 1891._x000D_
Stanford is highly selective for both undergraduate and graduate students. In 2018, Stanford accepted 5 percent of undergraduate applicants and 8 percent of graduate school applicants. Stanford enrolls about 7,000 undergraduate students and over 9,000 graduate and professional school students._x000D_
Students who derive pleasure from learning for its own sake thrive at Stanford. We look for distinctive students who exhibit energy, curiosity and a love of learning in their classes and lives. Academic excellence is the primary criterion for admission, and the most important credential is the transcript. We seek outstanding students who have selected a rigorous academic program and achieved distinction in a range of courses. 122 Stanford students have been Rhodes Scholars._x000D_
Stanford has 2,240 members of the professoriate faculty. Fifty-three percent of the faculty have earned tenure. Faculty at Stanford are expected to be among the best teachers and researchers in their fields. Stanford faculty have won 31 Nobel Prizes since the university's founding. The faculty currently includes 17 Nobel laureates, 4 Pulitzer Prize winners, 31 MacArthur Fellows and 13 recipients of the National Medal of Science. The synthesis of teaching and research is fundamental to Stanford. All faculty do scholarly research, most often in association with graduate students or advanced undergraduates._x000D_
The synthesis of teaching and research is fundamental to Stanford. All faculty do scholarly research, most often in association with graduate students or advanced undergraduates. Stanford is noted for multidisciplinary research within its schools and departments, as well as its independent laboratories, centers and institutes._x000D_
There are more than 6,000 externally sponsored projects throughout the university, with the total budget for sponsored projects at $1.63 billion during 2018-19, including the SLAC National Accelerator Laboratory, a facility run by Stanford for the U.S. Department of Energy. Of these projects, the federal government sponsors approximately 80 percent, including SLAC. In addition, nearly $330 million in support comes from non-federal funding sources. Approximately 2,300 postdoctoral scholars are involved in research at the university. Basic research at Stanford has made possible applications from microwaves to GPS, heart transplants to gene splicing, digital sound synthesis to modern web-search algorithms._x000D_
Stanford’s entrepreneurial spirit, the result of its California location and the legacy of Leland and Jane Stanford, has helped spawn more than 3,000 companies in high technology and other fields. Stanford played a key role in the creation of the high-technology region known as Silicon Valley. Among the companies started by Stanford graduates or faculty are Google, Yahoo, Hewlett-Packard, Gap, eBay, Electronic Arts, Taiwan Semiconductor, Cisco Systems, Nike, Sun Microsystems and VMware. Stanford has 19 libraries that support Stanford’s mission of teaching, learning and research. The libraries have amassed collections of books, journals, scores and printed reference works numbering more than 8.5 million physical volumes. The libraries hold 1.5 million e-books, nearly 1.5 million audiovisual materials, more than 75,000 serials, thousands of other digital resources and nearly 6 million microform holdings. Stanford also houses one of the most extensive computing environments of any university._x000D_
There are more than 220,000 Stanford alumni living in all 50 states, plus the District of Columbia. There are alumni in 158 countries and territories worldwide._x000D_
Stanford offers its students study opportunities at Stanford centers in Australia, Beijing, Berlin, Cape Town, Florence, Kyoto, Madrid, Oxford, Paris and Santiago. The Bing Stanford in Washington Program enables undergraduates to work and study through courses and internships in a residential program in the U.S.  Capital. The Hopkins Marine Station allows students to live in Pacific Grove while studying marine biology._x000D_
Stanford is located in California on the San Francisco Bay Peninsula, midway between San Francisco and San Jose. With more than 49 miles of roads, a 49-megawatt power plant, three separate water systems, three dams and lakes, 88 miles of water mains, a central heating and cooling plant, a high-voltage distribution system and a post office, the university is a self-sustaining community. There are more than 690 major buildings at Stanford that incorporate 14.7 million square feet. Stanford is considered one of the top universities in the United States for sustainable practices and development. Ninety-seven percent of undergraduates live on campus, as do about 66 percent of graduate students and 30 percent of faculty members.",16163,24,6994,10.7,9169,34.2,37.43131385,-122.1693654
3,https://www.shanghairanking.com/_uni/logo/79165fd8b.png,Massachusetts Institute of Technology (MIT),https://www.shanghairanking.com/institution/massachusetts-institute-of-technology-mit, http://web.mit.edu/,https://www.shanghairanking.com/_pub/country-flags/png100/us.png, United States,North America,1861, 77 Massachusetts Avenue,"The essence of MIT is our appetite for problems––especially those big, intractable, complicated problems whose solutions make a permanent difference. While MIT is a research university committed to world-class inquiry in math, science, and engineering, MIT has equally distinguished programs in architecture, the humanities, management, and the social sciences. A diverse, supportive campus environment––with an incredible range of student groups and athletic and fitness opportunities––ensures that it's not all about the work. And in MIT's intensely creative atmosphere, the arts flourish in all their forms._x000D_
MIT admits some of the most talented students in the world on a need-blind basis. The Institute is committed to meeting the financial need of each admitted undergraduate student through MIT Scholarships; the average need-based scholarship was $51,500 in 2018. As a result, the MIT community is incredibly diverse, and organically collaborative, with students coming from many different backgrounds, across the country and around the world._x000D_
Students are frequently encouraged to unite MIT’s engineering excellence with public service. For example, the required senior capstone design course for mechanical engineering majors centers on making the world a better place through engineering. Recent years have focused on projects using alternative forms of energy, and machines that could be used for sustainable agriculture. Beyond academic coursework, MIT’s D-Lab, Poverty Action Lab, and Public Service Center all support students and professors in the research and implementation of culturally sensitive and environmentally responsible technologies and programs that alleviate poverty and improve quality of life in low-income areas locally, nationally, and worldwide._x000D_
MIT’s preeminence in entrepreneurship is rooted in its founding. As one of the first land-grant colleges, the Institute was designed to deliver a practical education rather than to focus on the classical education that was provided by many private universities of the era. This emphasis on practice is infused into the entrepreneurship curriculum and programming, which emphasizes learning by doing. Over the course of the 2018–2019 academic year, more than 500 entrepreneurship courses were offered._x000D_
Several MIT departments, labs, and centers foster entrepreneurship and innovation at MIT including the Martin Trust Center for MIT Entrepreneurship, the MIT Sandbox Innovation Fund Program, and the MIT Innovation Initiative to name a few. MIT also has over 40 student clubs and initiatives involved in entrepreneurship or innovation, among them the MIT $100K Entrepreneurship Competition, MIT Clean Energy Prize, and conferences such as Hacking Arts and Hacking Medicine._x000D_
The MIT community brings its energy and creativity outside the classroom as well with 450+ student-run groups, 33 varsity sports, 27 intramural sports, 35 club sports, and more than 50 music, theater, visual arts, writing, and dance groups. It’s just a short walk across the Charles River to Boston where students can enjoy the city’s fabulous restaurants and culture. Many programs around MIT allow students to get reduced-price tickets to various events, including the Boston Symphony Orchestra, the American Repertory Theater, and Bruins, Celtics, and Red Sox games. Students get free admission daily to the Museum of Science, the Museum of Fine Arts, and all Harvard University and MIT museums.",11084,16.8,4276,14.5,6808,18.2,42.3582529,-71.09662724
4,https://www.shanghairanking.com/_uni/logo/8d9861b69.png,University of Cambridge,https://www.shanghairanking.com/institution/university-of-cambridge, http://www.cam.ac.uk,https://www.shanghairanking.com/_pub/country-flags/png100/gb.png, United Kingdom,Europe,1318," The Old Schools, Trinity Lane","The University of Cambridge’s mission is to contribute to society through the pursuit of education, learning and research at the highest international levels of excellence. It is made up of 31 colleges and more than 100 departments that cater for some 12,000 undergraduate and 6,000 postgraduate students. In a beautiful setting by the River Cam, Cambridge is famed for the architecture of its historic colleges but also for its wealth of modern research and teaching facilities. The University’s reputation for outstanding academic achievement is known worldwide and reflects the intellectual achievement of its students, as well as the world-class original research carried out by the staff of the University and the Colleges. Some of the world’s most significant scientific breakthroughs have occurred at the University, including the splitting of the atom, invention of the jet engine and the discoveries of stem cells, plate tectonics, pulsars and the structure of DNA.  From Isaac Newton to Stephen Hawking, the University has nurtured some of history’s greatest minds and has produced more Nobel Prize winners than any other UK institution with more than 80 laureates. Cambridge's great libraries and collections housed in eight world-class museums and in the colleges are scholarly resources of outstanding international significance. Cambridge attracts the brightest and best students, researchers and academics from across the world, with a student population drawn from 135 different countries.",19875,36.9,12265,23.3,7610,58.9,52.21094555,0.092004976
5,https://www.shanghairanking.com/_uni/logo/0ff179fb8.png,"University of California, Berkeley",https://www.shanghairanking.com/institution/university-of-california-berkeley, http://berkeley.edu/,https://www.shanghairanking.com/_pub/country-flags/png100/us.png, United States,North America,1868," University of California, Berkeley, Berkeley, California 94720-0001, United States of America","Berkeley is internationally noted for its academic excellence. Its current faculty include Nobel laureates, members in the National Academy of Sciences, Faculty Fulbright Scholars, and fellows in the American Academy of Arts and Sciences. In national surveys, Berkeley’s academic departments consistently rank among the top five in the country. By any standard, Berkeley ranks as one of the world’s leading intellectual centers, renowned for the size and quality of its libraries and laboratories, the scope of its research and publications, and the distinction of its faculty and students. Many Berkeley undergraduates engage in off-campus public service projects annually. Students study, work, and relax among Neoclassical buildings, wooded glens, and parklands spread across 1,232 scenic acres overlooking the San Francisco Bay. With more than 40,000 students, a distinguished faculty, over 250 degree programs, and alumni in positions of national and international leadership, Berkeley today is a large and complex institution offering students a vast range of scholarly endeavor and a wide arena for personal growth.The campus is surrounded by wooded, rolling hills and by the city of Berkeley. Berkeley has a long history as one of America’s most lively, culturally diverse, and politically adventurous cities. The surrounding San Francisco Bay Area offers culture, entertainment, and natural beauty without rival, much of which is accessible by BART (Bay Area Rapid Transit). Research programs at Berkeley are conducted within teaching departments, institutes, and centers (sometimes referred to as Organized Research Units or ORUs). Institutes and centers are established and administered separately from the teaching units. They are interdisciplinary in nature and organized around the work of a group of faculty and graduate students whose research interests transcend traditional disciplinary boundaries. They do not offer courses of instruction or degrees, although several work in conjunction with interdepartmental instruction programs which lead to bachelor’s or advanced degrees. Institutes and centers provide invaluable experience for graduate students in basic and applied research and greatly enhance Berkeley’s educational program and the overall academic quality of the University.The quality of Berkeley’s student body complements the stature of its faculty. Most students are Californians, but nearly every state and most foreign countries are represented. The student body can best be characterized by its diversity; more than half of the students are minorities, helping to produce the wide range of opinion and perspective essential to a great university.",39874,17.7,29250,19,10624,13.9,37.87549965,-122.2390685
6,https://www.shanghairanking.com/_uni/logo/b1dad5288.png,Princeton University,https://www.shanghairanking.com/institution/princeton-university, http://www.princeton.edu/main/,https://www.shanghairanking.com/_pub/country-flags/png100/us.png, United States,North America,1746, 101 Morrison Hall,"Princeton University is a major research university with a profound and distinctive commitment to undergraduate education. Whether through independent study, student-initiated seminars, or lectures in emerging fields such as neuroscience, Princeton students have the flexibility to shape dynamic academic programs that prepare them for leadership and lives of service. Through its groundbreaking financial aid program, Princeton ensures that all qualified students who are accepted can afford to attend the University._x000D_
Chartered in 1746, Princeton emphasizes a curriculum that encourages exploration across the disciplines, while providing a core academic experience. Its faculty are known throughout the world and it is not unusual for students to learn from Nobel laureates, Pulitzer Prize winners, and MacArthur fellows. Students benefit from small class sizes and one-on-one advising with faculty, particularly while doing independent work such as the senior thesis. More than 75 percent of student classes have fewer than 20 students. The intellectual endeavors of Princeton's approximately 5,260 undergraduates are supported by a range of first-rate academic resources, from specialized libraries to state-of-the-art laboratories, and even an art museum. In 2017, Princeton opened a new arts center that highlights artistic creativity as a key part of the academic experience. The academic options at Princeton give students flexibility in pursuing their intellectual interests while working toward either the Bachelor of Arts or the Bachelor of Science in Engineering. Students also may earn certificates from among 55 interdisciplinary programs, creating combinations of academic interests. For example, a student might major in physics while also earning a certificate in Latin American studies. Academic pursuits often emphasize civic engagement, such as through the Service Focus program that consists of a funded summer internship and service-related courses. Princeton also encourages students to participate in international learning experiences through study abroad, internships, and summer global seminars._x000D_
The University is located in the town of Princeton, which has a diverse population of 30,000 residents and is situated between New York City and Philadelphia, with rail service to both cities. Princeton is a residential university that provides a welcoming environment, advising services, cultural and educational events, intramural sports, and more. As a residential community, Princeton provides housing for all four years. Princeton's six residential colleges offer settings where students quickly can become involved in campus activities. Students can participate in more than 300 student-run organizations, the arts, civic engagement, student government, religious groups, and athletics.",8105,25.1,5260,14.6,2845,44.5,40.33867515,-74.65836549
7,https://www.shanghairanking.com/_uni/logo/c1d967477.png,University of Oxford,https://www.shanghairanking.com/institution/university-of-oxford, http://www.ox.ac.uk,https://www.shanghairanking.com/_pub/country-flags/png100/gb.png, United Kingdom,Europe,1096, Wellington Square,"Oxford is the oldest university in the English-speaking world. For the quality and impact of its research, which extends from the study of the formation of the Universe and the development of early civilisations to high-performance computing and the latest medical breakthroughs, it has few peers. Researchers are tackling the major challenges facing the world, including the prevention and treatment of major diseases such as malaria and cancer; globalisation; climate change; migration; ageing populations; growing pressure on resources; and biodiversity. Alongside research, Oxford provides exceptional education, distinguished by the close contact of students with leading scholars. Oxford’s 22,000 students come from all over the world. They are attracted by the chance to study at an internationally-renowned university with a reputation for innovation and outstanding academic achievement; excellent resources in world-famous libraries, laboratories and museums; and the opportunity to work alongside world-leading researchers. Oxford’s collegiate system is at the heart of Oxford’s success, giving students and academics the benefits of belonging both to a large, internationally-renowned institution and to a small, interdisciplinary academic community. Colleges bring together scholars from different disciplines and cultures, and foster the intense interdisciplinary approach that inspires much of Oxford’s outstanding research achievement and makes it a leader in so many fields.",20785,36.4,11900,20.1,8885,58.2,33.6502899,-117.8281794
8,https://www.shanghairanking.com/_uni/logo/ce3421720.png,Columbia University,https://www.shanghairanking.com/institution/columbia-university, http://www.columbia.edu,https://www.shanghairanking.com/_pub/country-flags/png100/us.png, United States,North America,1754, 116th Street and Broadway,"Columbia University is one of the world's most important centers of research and at the same time a distinctive and distinguished learning environment for undergraduates and graduate students in many scholarly and professional fields. The University recognizes the importance of its location in New York City and seeks to link its research and teaching to the vast resources of a great metropolis. It seeks to attract a diverse and international faculty and student body, to support research and teaching on global issues, and to create academic relationships with many countries and regions. It expects all areas of the university to advance knowledge and learning at the highest level and to convey the products of its efforts to the world.",33301,37,8628,10.1,24673,20.1,40.80775585,-73.96164947
9,https://www.shanghairanking.com/_uni/logo/c956f3d98.png,California Institute of Technology,https://www.shanghairanking.com/institution/california-institute-of-technology, http://www.caltech.edu/,https://www.shanghairanking.com/_pub/country-flags/png100/us.png, United States,North America,1891, 1200 East California Boulevard,"Caltech is a world-renowned science and engineering institute that marshals some of the world's brightest minds and most innovative tools to address fundamental scientific questions and pressing societal challenges. Caltech manages the Jet Propulsion Laboratory (JPL) for NASA and owns and operates large-scale research facilities and a global network of astronomical observatories._x000D_
The Institute has one of the nation's lowest student-to-faculty ratios, with 300 professorial faculty members offering a rigorous curriculum and access to hands-on research to approximately 1,000 undergraduates and 1,250 graduate students. Caltech is an independent, privately supported institution with a 124-acre campus located in Pasadena, California.",2240,3.6,901,7.5,1339,1,34.13701375,-118.1252883
10,https://www.shanghairanking.com/_uni/logo/b4f6eec47.png,University of Chicago,https://www.shanghairanking.com/institution/university-of-chicago, http://www.uchicago.edu/,https://www.shanghairanking.com/_pub/country-flags/png100/us.png, United States,North America,1890, 5801 S. Ellis Avenue,"The University of Chicago is a private urban research university that has driven new ways of thinking since 1890. It utilizes a quarter-based academic calendar, which runs from late September until early June. The University of Chicago is located in the historic, residential neighborhood of Hyde Park, just 20 minutes south of downtown Chicago. Our 217 acre campus offers a rich student life experience in a big-city setting. The main campus is also a certified botanic garden._x000D_
The University of Chicago comprises of the undergraduate College, four graduate divisions, and professional schools including the highly ranked Booth School of Business, Pritzker School of Medicine, Harris School of Public Policy Studies, Pritzker School of Molecular Engineering, Graham School of Continuing Liberal and Professional Studies, Law School, School of Social Service Administration, and Divinity School, as well as a top graduate program in the Kenneth C. Griffin Department of Economics._x000D_
The University is recognized for its devotion to open and rigorous inquiry. UChicago prides itself on the strength of its intellectual traditions, including a dedication to intense critical analysis and lively debate, all of which result in creative solutions to complex problems. The University has been home to 92 Nobel Prize winners, over 260 Guggenheim fellows, over 50 Macarthur ""genius"" fellows, and 25 Pulitzer Prize-winners._x000D_
Famous alumni include former U.S. Attorney General John Ashcroft, Nobel Laureate Milton Friedman, former Senior Advisor to President Obama David Axelrod, former U.S. Supreme Court Justice John Paul Stevens, and author Kurt Vonnegut Jr._x000D_
Academic Experience:_x000D_
UChicago is renowned for the unparalleled resources it provides its undergraduate students. The University maintains a student-faculty ratio of 5:1, ensuring that every undergraduate classroom experience exemplifies our commitment to close interactions between students and faculty in small, discussion-style seminars. Our famous Core curriculum—courses in eight subject areas that all students, regardless of their major, are required to take—provides students with a common vocabulary and a well-balanced academic experience, while allowing them the flexibility to explore their own particular interests. Students and professors are encouraged to engage in substantive debates and conversations, which promotes a culture of intellectual discourse. The College offers over 50 majors of programmatic study in well-defined fields such as anthropology and mathematics, to interdisciplinary programs, like biological chemistry and comparative literature, as well as pre-professional courses of study._x000D_
Beyond the classroom, students enjoy a vibrant and diverse environment with over 400 registered student organizations and dozens of intramural, recreational, or varsity sports programs. The UChicago Maroons have 19 NCAA Division III teams, which compete in the University Athletic Association. First- and second-year undergraduates are required to live on campus, while others live in off-campus apartments. Students are placed in ""houses"" within their residence hall, which serve as tight-knit communities and provide academic and social support. Students also enjoy forty student theatrical productions a year, a rich music and arts scene, and celebrations of different cultures and communities._x000D_
Career Services:_x000D_
The Office of Career Advancement empowers undergraduates of all interests and backgrounds to apply their world-class education to a fulfilling career through individual meetings with personalized support. Over 3,000 Metcalf internships—fully funded opportunities across a range of industries — are available for UChicago students each year in cities across nearly 50 countries._x000D_
Financial Aid:_x000D_
The University’s Financial Aid program No Barriers is a comprehensive plan created to increase access to college, support students as they receive an empowering education, and prepare them for lifelong professional success. Families who apply for financial aid do not have to pay a college application fee to UChicago. UChicago’s need-based financial aid involves no loans and is awarded as grants, which do not need to be repaid._x000D_
Study Abroad:_x000D_
UChicago Study Abroad encourages students to expand their education through diverse intellectual perspectives, active participation in a new culture, and first-hand engagement with local and global challenges. UChicago's distinctive range of faculty-led programming blends the spirit of intellectual curiosity that is central to the College curriculum with the University's wide-reaching international mission. The University also has a strong global presence with its own facilities in Beijing, Delhi, Hong Kong, London, and Paris and active educational programs in locations throughout the world._x000D_
Through quarter-long, academic year and summer programs, UChicago students gain cultural fluency and hone language skills while either studying a civilization at its center or focusing on a particular academic theme. Faculty-designed excursions promote dynamic engagement beyond the classroom as the city and surroundings become the unofficial “second classroom” of each sequence. Participants remain registered in the College -- receiving academic credit and retaining financial aid eligibility -- making Study Abroad a fully integrated component of UChicago’s undergraduate education._x000D_
Research:_x000D_
Research is an integral part of the study-curriculum at the University of Chicago. The University is a global leader in scientific advancement and plays a pivotal role as a central hub for innovation in quantum science and engineering. The University operates two major national laboratories, an internationally renowned medical center, and the nation’s largest academic press. Our campus contains six libraries with over 11 million print volumes and over 160 research centers and institutes._x000D_
Notable research breakthroughs achieved by students and staff at the University of Chicago include:_x000D_
         James Watson, the UChicago alumnus who shared the 1962 Nobel Prize for discovering the structure of DNA, launched the Human Genome Project in 1990. Today, University of Chicago scientists are building on Watson’s achievements, and reshaping our understanding of gene function and the role genes play in disease causation._x000D_
         Paleontologist Paul Sereno has discovered many previously unknown species of dinosaurs._x000D_
         Subrahmanyan Chandrasekhar, who first proposed the existence of “black holes” in the universe, won the Nobel Prize in Physics in 1983 “for his theoretical studies of the physical processes of importance to the structure and evolution of the stars.”_x000D_
         Bruce Lahn and Wen-Hsiung Li explored differences in DNA sequence and gene expression between organisms to identify genes or gene regulatory elements that distinguish humans from lower primates or that correlate with specific behaviors, traits, or biological mechanisms.",16020,27.5,6797,14.6,9223,37,41.784977,-87.59052371
